Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Malawi,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575
Malaysia,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265
North America,340465736,343418591,346070702,348813722,351425360,354173159,356810463,359479269
Namibia,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713
New Caledonia,245000,250000,254000,259000,263000,268000,273000,278000
Niger,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987
Nigeria,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640
Nicaragua,5666581,5737723,5807820,5877108,5945747,6013997,6082035,6149928
Netherlands,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17018408
Norway,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5232929
Nepal,26741103,27023137,27327147,27649925,27985310,28323241,28656282,28982771
Nauru,10028,10025,10057,10279,10821,11853,12475,13049
New Zealand,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4692700
OECD members,1234203233,1242391523,1248769315,1256599264,1264695223,1273109967,1281401703,1289937319
Oman,2882942,3041460,3237268,3464644,3711481,3960925,4199810,4424762
Other small states,25620918,26269542,26902018,27527819,28146089,28759578,29374084,29983809
Pakistan,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476
Panama,3579385,3643222,3707782,3772938,3838462,3903986,3969249,4034119
Peru,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839
Philippines,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222
Palau,20342,20470,20599,20758,20920,21094,21288,21503
Papua New Guinea,6947447,7108239,7269348,7430836,7592865,7755785,7919825,8084991
Poland,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37948016
Pre-demographic dividend,717959651,739082260,760942116,783505835,806705375,830442736,854646007,879292453
Puerto Rico,3740410,3721525,3678732,3634488,3593077,3534874,3473181,3411307
"Korea, Dem. People’s Rep.",24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620
Portugal,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10324611
Paraguay,6127837,6209877,6293783,6379219,6465740,6552584,6639119,6725308
West Bank and Gaza,3702218,3811102,3927051,4046901,4169506,4294682,4422143,4551566
Pacific island small states,2184920,2214096,2242763,2271298,2300045,2329458,2358955,2388875
Post-demographic dividend,1070107590,1075140985,1078083259,1082722218,1087560614,1092601669,1097570905,1102730983
French Polynesia,265581,267820,269843,271703,273528,275484,277690,280208
Qatar,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804
Romania,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19705301
Russian Federation,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396
Rwanda,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508
South Asia,1607562312,1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
Saudi Arabia,26661492,27425676,28238020,29086357,29944476,30776722,31557144,32275687
Sudan,33650619,34385963,35167314,35990192,36849918,37737913,38647803,39578828
Senegal,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614
Singapore,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283
Solomon Islands,516079,527790,539614,551531,563513,575504,587482,599419
Sierra Leone,6310260,6458720,6611692,6766103,6922079,7079162,7237025,7396190
El Salvador,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722
San Marino,30723,31110,31504,31914,32303,32657,32960,33203
Somalia,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996
Serbia,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7057412
Sub-Saharan Africa (excluding high income),853151354.1,876933366.4,901368314.4,926459874.1,952188682.6,978533722.7,1005477382,1033011458
South Sudan,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730
Sub-Saharan Africa,853238652.1,877023136.4,901455755.4,926548177.1,952278631.6,978625081.7,1005570801,1033106135
Small states,34745372,35467734,36173803,36873246,37565022,38251715,38937987,39618156
Sao Tome and Principe,170813,174776,178800,182889,187045,191266,195553,199910
Suriname,520619,526103,531589,537077,542540,547928,553208,558368
Slovak Republic,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5428704
Slovenia,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2064845
Sweden,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9903122
Swaziland,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098
Sint Maarten (Dutch part),39133,35474,33435,34640,36607,37685,38824,40005
Seychelles,87298,89770,87441,88303,89949,91359,93419,94677
Syrian Arab Republic,20824893,21018834,20863993,20420701,19809141,19203090,18734987,18430453
Turks and Caicos Islands,30245,30994,31731,32431,33108,33739,34339,34900
Chad,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543
East Asia & Pacific (IDA & IBRD countries),1926269218,1940064830,1953970563,1968120178,1982414412,1996870376,2011274432,2026028438
Europe & Central Asia (IDA & IBRD countries),439624552,441513488,443585208,445769749,448166840,450522686,452962149,455372659
Togo,6330472,6502952,6679282,6859482,7042948,7228915,7416802,7606374
Thailand,66881867,67208808,67530130,67843979,68143065,68416772,68657600,68863514
Tajikistan,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951
Turkmenistan,5007950,5087210,5174061,5267839,5366277,5466241,5565284,5662544
Latin America & the Caribbean (IDA & IBRD countries),573125269,580246796,587315129,594330743,601277206,608136047,614891969,621534921
Timor-Leste,1092021,1109591,1131523,1156760,1184366,1212814,1240977,1268671
Middle East & North Africa (IDA & IBRD countries),325786717,331770455,337894992,344148796,350471538,356783315,363027163,369167489
Tonga,103604,104137,104577,104951,105328,105782,106364,107122
South Asia (IDA & IBRD),1607562312,1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
Sub-Saharan Africa (IDA & IBRD countries),853238652.1,877023136.4,901455755.4,926548177.1,952278631.6,978625081.7,1005570801,1033106135
Trinidad and Tobago,1321618,1328100,1334788,1341588,1348248,1354493,1360092,1364962
Tunisia,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248
Turkey,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426
Tuvalu,10441,10531,10628,10725,10819,10908,11001,11097
Tanzania,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201
Uganda,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965
Ukraine,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645
Upper middle income,2446466231,2464534816,2482888622,2501989805,2521454987,2541065425,2560411826,2579909675
Uruguay,3362755,3374415,3385624,3396777,3408005,3419546,3431552,3444006
United States,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
Uzbekistan,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31848200
St. Vincent and the Grenadines,109253,109315,109341,109328,109320,109357,109455,109643
"Venezuela, RB",28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179
British Virgin Islands,26447,27224,27901,28509,29056,29588,30113,30661
Virgin Islands (U.S.),106707,106267,105784,105275,104737,104170,103574,102951
Vietnam,86025000,86932500,87860300,88809200,89759500,90728900,91713300,92701100
Vanuatu,230785,236295,241871,247485,253142,258850,264603,270402
World,6847214549,6930656699,7012843635,7097400665,7182860115,7268986176,7355220412,7442135578
Samoa,184826,186205,187665,189194,190757,192290,193759,195125
Kosovo,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200
"Yemen, Rep.",22974929,23606779,24252206,24909969,25576322,26246327,26916207,27584213
South Africa,50255813.11,50979432.36,51729345.36,52506515.08,53311955.61,54146734.74,55011976.68,55908865
Zambia,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390
Zimbabwe,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362
