Country Name,2009,2010,2011,2012,2013,2014
Slovak Republic,16512.98197,16600.61359,18187.15744,17274.6423,18191.61279,18629.77966
Slovenia,24633.79785,23437.47202,24985.24827,22532.43564,23357.9392,24202.43084
Sweden,46207.0592,52076.25591,59593.28711,57134.07707,60283.24522,59180.19898
Swaziland,3032.517049,3690.239228,3934.273373,3864.760436,3587.000316,3379.896499
Sint Maarten (Dutch part),,,,,,
Seychelles,9706.95606,10804.68447,12189.09516,12845.17363,15687.34795,15570.77892
Syrian Arab Republic,,,,,,
Turks and Caicos Islands,,,,,,
Chad,804.4559039,896.5697341,989.2363633,973.4702574,986.0103177,1025.998515
East Asia  Pacific (IDA  IBRD countries),3381.394523,4050.262299,4915.540187,5443.999507,5966.226347,6368.934262
Europe  Central Asia (IDA  IBRD countries),7041.451648,8234.206658,9965.598566,10344.56739,10918.80042,10263.45988
Togo,499.6468713,487.9238913,562.3393592,563.6894247,579.434805,620.1318489
Thailand,4212.054902,5075.302176,5491.159981,5859.915622,6171.262444,5941.84071
Tajikistan,666.3458569,738.3475227,834.5412953,954.7205253,1040.214412,1104.459019
Turkmenistan,4036.459223,4439.203,5649.978486,6675.262954,7304.420525,7962.365824
Latin America  the Caribbean (IDA  IBRD countries),7182.110171,8861.944198,9983.721229,9948.704096,10076.21157,10148.04562
Timor-Leste,719.7315431,806.0627745,931.0460326,1027.784502,1190.510366,1196.061391
Middle East  North Africa (IDA  IBRD countries),3648.611762,4143.288742,4611.075979,4853.347282,4505.560529,4424.801229
Tonga,3070.987247,3548.068399,4044.979721,4500.750362,4278.884567,4196.470593
South Asia (IDA  IBRD),1036.030643,1252.227962,1373.810798,1370.56479,1387.008381,1497.506502
Sub-Saharan Africa (IDA  IBRD countries),1197.373595,1557.816397,1706.004888,1740.520354,1783.981029,1819.464366
Trinidad and Tobago,14508.8796,16683.94578,19053.97067,19152.05301,19607.78678,19325.27739
Tunisia,4129.977335,4140.15177,4256.91279,4137.54814,4199.084678,4270.307423
Turkey,9036.266711,10672.05482,11341.13134,11720.3077,12542.93076,12127.22567
Tuvalu,2595.639908,3021.889528,3698.910096,3718.018711,3542.135089,3415.813158
Tanzania,658.7579527,701.6045501,733.4128065,820.1562898,901.7314303,950.3743138
Uganda,554.404991,595.2061732,574.9402639,637.1300089,655.0496074,702.8808064
Ukraine,2545.480341,2965.142365,3569.757027,3855.42128,4029.715504,3104.658296
Upper middle income,5323.295855,6406.226914,7609.283767,8069.756914,8524.818383,8739.9187
Uruguay,9415.170386,11938.212,14166.49908,15092.06819,16881.20568,16737.89827
United States,47001.55535,48373.87882,49790.66548,51450.1223,52787.02695,54598.55069
Uzbekistan,1213.265328,1377.08214,1564.966945,1740.468298,1907.551233,2050.448414
